track_id,track_name,artists,vibe_suggested,vibe_score,reason,danceability,energy,valence,acousticness,instrumentalness,speechiness,tempo
1EzrEOXmMH3G43AXT1y7pA,I'm Yours,Jason Mraz,workout,0.6510000000000001,"workout_low_e_or_tempo e=0.44, tempo=151.0",0.703,0.444,0.712,0.559,0.0,0.0417,150.96
0IktbUcnAGrvD03AWnz3Q8,Lucky,Jason Mraz;Colbie Caillat,workout,0.5615233333333333,"workout_low_e_or_tempo e=0.41, tempo=130.1",0.625,0.414,0.669,0.294,0.0,0.0369,130.088
7k9GuJYLp2AzqokyEdwEw2,Hunger,Ross Copperman,workout,0.4665220833333334,"workout_low_e_or_tempo e=0.63, tempo=78.9",0.442,0.632,0.196,0.426,0.00419,0.0295,78.899
4mzP5mHkRvGxdhdGdAH7EJ,Give Me Your Forever,Zack Tabudlo,party,0.482205,"party_low_d_or_e d=0.63, e=0.36",0.627,0.363,0.301,0.279,0.0,0.0291,99.905
1KHdq8NK9QxnGjdXb55NiG,Falling in Love at a Coffee Shop,Landon Pigg,workout,0.44966625000000005,"workout_low_e_or_tempo e=0.56, tempo=83.5",0.489,0.561,0.238,0.2,4.56e-05,0.0274,83.457
6xKeQgzfjixSUld14qUezm,ily (i love you baby),Andrew Foy;Renee Foy,relax,0.8091499999999999,"relax_high_e_or_d e=0.11, d=0.71",0.706,0.112,0.414,0.827,4.03e-06,0.0391,110.154
4Yo0igmcoNyat1secaH0OD,At My Worst,Andrew Foy;Renee Foy,relax,0.7415200000000001,"relax_high_e_or_d e=0.08, d=0.80",0.795,0.0841,0.609,0.742,1.17e-05,0.0461,91.803
2qLMf6TuEC3ruGJg4SMMN6,Lucky,Jason Mraz;Colbie Caillat,workout,0.5615233333333333,"workout_low_e_or_tempo e=0.41, tempo=130.1",0.625,0.414,0.669,0.294,0.0,0.0369,130.088
6CgNoAbFJ4Q4Id4EjtbXlC,Photograph,Boyce Avenue;Bea Miller,relax,0.7622,"relax_high_e_or_d e=0.32, d=0.72",0.717,0.32,0.322,0.83,0.0,0.0283,107.946
3S0OXQeoh0w6AY8WQVckRW,I'm Yours,Jason Mraz,workout,0.6510000000000001,"workout_low_e_or_tempo e=0.44, tempo=151.0",0.703,0.444,0.712,0.559,0.0,0.0417,150.96
