popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,vibe
59,219240,False,0.833,0.639,5,-6.964,1,0.0676,0.152,0.0,0.101,0.448,102.989,4,party
30,579925,True,0.595,0.806,2,-5.732,1,0.937,0.729,0.0,0.873,0.449,82.933,4,party
80,205090,True,0.731,0.573,4,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,4,party
7,407680,False,0.806,0.576,1,-12.158,0,0.0512,0.000163,0.862,0.0927,0.0518,122.97,4,party
0,191533,False,0.863,0.624,3,-5.637,1,0.0375,0.54,8.43e-06,0.03,0.958,105.49,4,party
0,194013,False,0.787,0.872,9,-2.117,1,0.143,0.0067,0.000193,0.136,0.696,92.025,4,party
21,274312,True,0.909,0.745,11,-4.859,0,0.0844,0.0312,0.313,0.0268,0.806,113.749,4,party
33,116006,True,0.947,0.193,7,-12.119,1,0.482,0.0181,0.368,0.111,0.135,129.985,4,party
35,151187,False,0.856,0.66,7,-5.608,0,0.0882,0.0468,0.0,0.354,0.683,102.002,4,party
0,288640,True,0.759,0.492,1,-10.338,0,0.12,0.736,0.0102,0.107,0.561,104.973,4,party
27,286593,False,0.788,0.873,4,-5.007,0,0.177,0.111,0.0,0.218,0.813,95.041,4,party
49,140546,False,0.847,0.801,3,-4.073,1,0.105,0.278,0.0,0.326,0.709,109.965,4,party
32,233293,False,0.48,0.427,7,-7.961,1,0.0243,0.00315,0.00442,0.338,0.148,80.078,4,party
44,135000,False,0.812,0.379,8,-12.88,0,0.232,0.0809,0.0,0.0895,0.573,95.961,4,party
56,178983,True,0.876,0.834,5,-5.768,0,0.0454,0.044,3.93e-05,0.0874,0.62,117.986,4,party
2,192477,True,0.812,0.855,7,-3.725,1,0.0554,0.0789,0.000167,0.108,0.573,90.04,4,party
63,231360,False,0.785,0.582,5,-4.877,0,0.237,0.191,0.0,0.2,0.861,71.774,4,party
39,207240,False,0.7,0.875,0,-6.094,1,0.0363,0.0919,0.422,0.103,0.942,91.573,4,party
20,159474,True,0.795,0.248,7,-19.867,1,0.0775,0.069,2.74e-05,0.111,0.395,123.945,4,party
29,229250,False,0.765,0.533,9,-7.766,0,0.0718,0.006,0.000277,0.121,0.813,91.046,4,party
65,269720,False,0.624,0.554,2,-8.113,1,0.0225,0.191,0.00131,0.299,0.311,97.031,4,party
